Id,SalePrice
1461,123427.45647791114
1462,155779.53978512186
1463,184386.40299446287
1464,198411.64761048302
1465,187918.79554802092
1466,171377.55666795847
1467,175503.09602389386
1468,165937.33738800438
1469,191461.21704222166
1470,128201.12292079529
1471,189971.63541840782
1472,99192.43431334499
1473,98114.36828112169
1474,145344.78363077177
1475,113967.02294941859
1476,360628.174339583
1477,253106.00078848476
1478,285312.82803583605
1479,294277.7301180761
1480,501251.99002296483
1481,319612.7579705478
1482,205370.5854815486
1483,177904.7061208713
1484,168777.82543162676
1485,186923.61261256953
1486,195266.49641321375
1487,326511.7346389566
1488,229370.140297305
1489,199866.35556241672
1490,237233.12008421132
1491,190243.46144241735
1492,92337.72567492285
1493,183148.23848276315
1494,282049.6724890994
1495,281533.10430724995
1496,246853.9678468735
1497,180229.72455119566
1498,167601.093778059
1499,161886.60028740132
1500,160459.30108409835
1501,177337.72049984065
1502,153172.05862518187
1503,282457.8021869431
1504,237713.07971266622
1505,225748.304341933
1506,187071.53173388314
1507,263562.33627542405
1508,196268.47635128556
1509,158093.80097700717
1510,149553.54200662594
1511,145534.17271528902
1512,170193.87383234996
1513,143970.6323460702
1514,165149.36079590503
1515,197858.89911774828
1516,142999.34179322547
1517,164604.61245210643
1518,129360.99516321035
1519,218883.96665820188
1520,133818.08263896726
1521,135638.8474470748
1522,167470.9358183019
1523,112294.40133019956
1524,120135.94067151933
1525,122277.47909306009
1526,111381.50770488786
1527,105619.25203891104
1528,137534.87556976706
1529,151240.98056229105
1530,185416.71719708698
1531,105987.3859213337
1532,95136.96519735918
1533,148712.00250493927
1534,122090.73895080676
1535,147591.44870356223
1536,108194.1599706729
1537,65773.28325784371
1538,152675.31145501445
1539,191734.85798212374
1540,94015.8015340862
1541,133897.1159685254
1542,138058.49759199083
1543,200422.29113025032
1544,81825.11089452209
1545,112821.39606747753
1546,133864.2486116008
1547,138496.96152899173
1548,136503.36188931996
1549,115099.51477086321
1550,136910.90457177933
1551,109979.69047740972
1552,143352.87061151164
1553,146123.81168879892
1554,118322.38300861088
1555,157223.29470141997
1556,84468.1355414433
1557,100997.7601111737
1558,99901.67229928925
1559,76907.31107644063
1560,130018.29908531887
1561,137977.1854397878
1562,130014.81939349847
1563,122279.67277603393
1564,153943.54706398575
1565,151201.1818906267
1566,231922.4950395869
1567,78019.23981930016
1568,225069.1410540012
1569,127443.04495707653
1570,136564.1272279599
1571,119513.45249325415
1572,148272.96815871427
1573,242511.75921322659
1574,116128.01618939439
1575,224168.1061120271
1576,224389.1098238411
1577,189018.6563747614
1578,141475.7939706674
1579,141912.18472333156
1580,189970.64692511063
1581,150970.80618240635
1582,127024.64921841657
1583,302960.0918550515
1584,217352.30243396896
1585,140366.6329472632
1586,71864.45246806367
1587,101599.76420421238
1588,152489.10981162594
1589,93915.05175560374
1590,131229.18100159307
1591,91916.29719908535
1592,115131.92061188442
1593,126916.69224025814
1594,133353.57477815534
1595,109150.66181022457
1596,232719.90764293386
1597,189732.83240422542
1598,205173.38088086026
1599,162036.79821617462
1600,155582.22811170074
1601,67098.33589912017
1602,112663.68233776186
1603,85925.85922304729
1604,265464.1575635018
1605,233352.72877958318
1606,167530.58684421238
1607,169714.74326008846
1608,219436.6337508978
1609,186465.11677959943
1610,160989.6820823907
1611,138975.44600566124
1612,174330.70516443293
1613,166403.5319188151
1614,120178.68225221439
1615,84661.85975926481
1616,73704.23640808374
1617,90066.53734350296
1618,126030.80124946924
1619,142774.85429573033
1620,167766.0627020802
1621,138262.83544875614
1622,139531.2915662933
1623,264871.5286402228
1624,202548.23349852912
1625,116959.72730151098
1626,160749.7209389746
1627,191903.23903911942
1628,278683.8647249321
1629,179962.69155226293
1630,347362.83047812496
1631,214211.68341796802
1632,230061.42348288576
1633,173995.83968154358
1634,188535.07469610145
1635,179131.79342382518
1636,154328.58746510866
1637,196636.19729749605
1638,182234.7524129952
1639,182614.54960234725
1640,245165.22213167578
1641,174348.63925033275
1642,245561.19951209455
1643,214537.385372782
1644,237695.5435399735
1645,214108.87427820393
1646,159884.66897530225
1647,156206.05905723583
1648,134485.05653701504
1649,143388.11847585355
1650,117225.18282111565
1651,121079.57444612283
1652,97770.08817359696
1653,104957.53009521482
1654,147586.5408358886
1655,141429.47920108621
1656,140418.15706424392
1657,149506.21925806926
1658,147758.92499660564
1659,126172.78704565612
1660,158277.7509478261
1661,447216.14991540986
1662,401398.7487884499
1663,376728.8119074039
1664,502370.3305321868
1665,305720.3494758601
1666,330018.3841614881
1667,392448.5766764096
1668,340780.7094835027
1669,295450.8939996803
1670,344280.1506038935
1671,261159.0549008054
1672,470677.64133097243
1673,294500.863391007
1674,244248.59838649887
1675,194194.13867238106
1676,191484.77192569722
1677,222821.86941651566
1678,453592.39508476
1679,408490.59035570675
1680,331076.5546415798
1681,248216.76275195394
1682,315303.2641999887
1683,183956.99486494463
1684,172788.544728186
1685,171136.42837226597
1686,171567.66602620322
1687,170805.9683242048
1688,193621.08454746348
1689,200551.15942405775
1690,196623.84656675215
1691,187482.15477073725
1692,262530.8588245921
1693,171622.77412899653
1694,184774.11158427352
1695,167063.00933696574
1696,266652.0795523983
1697,172117.1774446147
1698,359404.9394090599
1699,319176.81670435437
1700,247836.20034370437
1701,253504.96691407124
1702,245449.76135677527
1703,251673.03011091673
1704,276912.35165204713
1705,241764.2089966754
1706,375277.5582131235
1707,216005.07607465977
1708,208705.85592039026
1709,258017.2293300999
1710,217870.6909946987
1711,267055.1354430865
1712,264059.22369698517
1713,289875.67205488647
1714,223179.60263330216
1715,211282.71291161072
1716,184099.39256314127
1717,175597.01580401097
1718,140074.1941454015
